District,Sub-County,Parish
Rubirizi,Kicwamba,Kyambura
Rubirizi,Kicwamba,Rumuri
Rubirizi,Kirugu,Kikumbo
Rubirizi,Kirugu,Kyenzaza
Rubirizi,Kirugu,Mirarikye
Rubirizi,Kirugu,Kirugu
Rubirizi,Kyabakara,Kakari
Rubirizi,Kyabakara,Kyabakara
Rubirizi,Kyabakara,Ngoro
Rubirizi,Kyabakara,Nyabubare
Rubirizi,Kyabakara,Rugarama
Rubirizi,Magambo,Rubirizi
Rubirizi,Magambo,Buhoha
Rubirizi,Magambo,Magambo
Rubirizi,Magambo,Buyaga
Rubirizi,Magambo,Rugazi
Rubirizi,Rubirizi T/C,Bururuma Ward
Rubirizi,Rubirizi T/C,Kashenyi Ward
Rubirizi,Rubirizi T/C,Ndangaro Ward
Rubirizi,Rubirizi T/C,Rwemitagu Ward
Rubirizi,Rutoto,Bururuma
Rubirizi,Rutoto,Kasenyi
Rubirizi,Rutoto,Ndangaro
Rubirizi,Rutoto,Rwemitagu
Rubirizi,Rutoto,Nyamabare
Rubirizi,Ryeru,Mushumba
Rubirizi,Ryeru,Ndagaro
Rubirizi,Ryeru,Ndekye
Rubirizi,Ryeru,Mubanda
Rubirizi,Ryeru,Mugogo
Rubirizi,Ryeru,Mubanda
Rubirizi,Ryeru,Nyakiyanja
Sheema,Bugongi,Karera
Sheema,Bugongi,Kyamurari
Sheema,Bugongi T/C,Isingiro Ward
Sheema,Bugongi,Karera South
Sheema,Bugongi T/C,Kyamurari South Ward
Sheema,Bugongi T/C,Kyamurari North Ward
Sheema,Bugongi T/C,Kyarikunda Ward
Sheema Mun,Kagango Div,Itendero Ward
Sheema Mun,Kabwohe Div,Nyanga Ward
Sheema Mun,Kabwohe Div,Kanyinasheema Ward
Sheema Mun,Kagango Div,Kihunda Ward
Sheema Mun,Kagango Div,Kiziba Ward
Sheema Mun,Kagango Div,Ndeebo Ward
Sheema Mun,Kabwohe Div,Kyagaju Ward
Sheema Mun,Kagango Div,Rwenshama Ward
Sheema Mun,Kagango Div,Migina Ward
Sheema,Kasaana,Buraro
Sheema,Kasaana,Karugorora
Sheema,Kasaana,Kasaana
Sheema,Kitagata T/C,Kasana East
Sheema, Kitagata T/C,Kasana West
Sheema,Kasaana,Kyeihara
Sheema,Kasaana,Rukondo
Sheema Mun,Central Div,Nyarweshama Ward
Sheema Mun,Central Div,Kitojo Ward
Sheema Mun,Central Div,Kyabandara Ward
Sheema Mun,Central Div,Nyakashambya Ward
Sheema Mun,Central Div,Rwamujojo Ward
Sheema,Kigarama,Bwayegamba
Sheema,Kigarama,Katoma
Sheema,Kigarama,Kigarama
Sheema,Kigarama,Kyengando
Sheema,Kigarama,Runyinya
Sheema,Kitagata,Kyeibanga
Sheema,Kitagata,Muhito
Sheema,Kyangyenyi,Masyoro
Sheema,Kakindo T/C,Kyangyenyi Ward
Sheema,Kakindo T/C,Kyangundu Ward
Sheema,Kyangenyi,Muzira
Sheema,Kakindo T/C,Ryenzoki Ward
Sheema,Kakindo T/C,Rweibare Ward
Sheema,Masheruka,Kanyaganyekye
Sheema,Masheruka,Mabaare
Sheema,Shuuku,Kashozi
Sheema Mun,Kashozi Div,Karera South Ward
Sheema Mun,Kashozi Div,Kashozi West Ward
Sheema Mun,Kashozi Div,Kashozi Central Ward
Sheema Mun,Kashozi Div,Kashozi East Ward
Sheema Mun,Kashozi Div,Karera North Ward
Sheema,Shuuku T/C,Kishabya Ward
Sheema,Shuuku T/C,Kyempitsi Ward
Sheema,Shuuku T/C,Rwabuza Ward
Sheema,Shuuku,Nyakarama
Sheema,Rugarama,Nyakashoga
Sheema,Rugarama,Nyakarama South
Sheema,Rugarama,Nyakarama North
Sheema,Rugarama,Rugarama
Kamwenge,Kicheche,Bwera
Kamwenge,Kicheche,Kantozi
Kamwenge,Kicheche,Kagazi
Kamwenge,Kicheche,Kigoto
Kamwenge,Kicheche,Ruhunga
Kamwenge,Buhanda,Bujumiro
Kamwenge,Buhanda,Kakasi
Kamwenge,Buhanda,Nyabihoko
Kamwenge,Buhanda,Nyakasenyi
Kamwenge,Buhanda,Kitooma
Kamwenge,Mahyoro,Bukurungo
Kamwenge,Mahyoro,Nyakasura
Kamwenge,Mahyoro,Kitonzi
Kamwenge,Mahyoro,Nyakera
Kamwenge,Mahyoro,Mahyoro
Kamwenge,Mahyoro,Kanyabikyere
Kamwenge,Mahyoro,Kyendangara
Kamwenge,Ntara,Kabale
Kamwenge,Ntara,Rugarama
Kamwenge,Ntara,Kichwamba
Kamwenge,Ntara,Ntara
Kamwenge,Nyabbani,Nganiko
Kamwenge,Nyabbani,Rwenkubebe
Kamwenge,Nyabbani,Kamayenje
Kamwenge,Nyabbani,Nyarurambi
Kamwenge,Nyabbani,Rwenjaza
Kamwenge,Kanara,Kanara
Kamwenge,Kanara,Rwenshama
Kamwenge,Bwiizi,Bwiizi
Kamwenge,Bwiizi,Kamwenge Tc
Kamwenge,Bwiizi,Marere
Kamwenge,Bwiizi,Ntonwa
Kamwenge,Biguli,_
Kamwenge,Biguli,_
Kamwenge,Biguli,_
Kamwenge,Biguli,_
Kamwenge,Nkoma,Bihanga
Kamwenge,Nkoma,Bisozi
Kamwenge,Nkoma,Kabingo
Kamwenge,Nkoma,Mabaale
Kamwenge,Nkoma,Nkoma
Kamwenge,Bihanga,_
Kamwenge,Bihanga,_
Kamwenge,Bihanga,_
Kamwenge,Bihanga,_
Kamwenge,Kahunge,Bigodi
Kamwenge,Kahunge,Kinoni
Kamwenge,Kahunge,Kyakarafa
Kamwenge,Kahunge,Busiriba
Kamwenge,Kahunge,Kiyagara
Kamwenge,Kahunge,Mpanga
Kamwenge,Kahunge,Kibaale National Park
Kamwenge,Kahunge,Kyakanyemera
Kamwenge,Kahunge,Rwenkuba
Kamwenge,Busiriba,_
Kamwenge,Busiriba,_
Kamwenge,Busiriba,_
Kamwenge,Busiriba,_
Kamwenge,Kamwenge,Businge
Kamwenge,Kamwenge,Kakinga
Kamwenge,Kamwenge,Nkongoro
Kamwenge,Kamwenge,Ganyenda
Kamwenge,Kamwenge,Kiziba
Kamwenge,Kamwenge,Nyamashegwa
Kamwenge,Kamwenge,Kabambiro
Kamwenge,Kamwenge,Kyabandara
Kamwenge,Kamwenge T/C,Kaburisoke
Kamwenge,Kamwenge T/C,Kamwenge
Kamwenge,Kamwenge T/C,Kitonzi Ward
Kamwenge,Kabambiro ,_
Kamwenge,Kabambiro ,_
Kamwenge,Kabambiro ,_
